pubchem,metabs_sorted
Metab__nfdoh,14
Metab__oxyp,14
Metab__114833,13
Metab__637542,13
Metab__crtstrn,13
Metab__768,13
Metab__5459822,13
Metab__digalsgalside_hs,13
Metab__92747,13
Metab__gd1c_hs,13
Metab__gq1balpha_hs,13
Metab__gt1a_hs,13
Metab__mag_hs,13
Metab__936,13
Metab__7058075,13
Metab__11954196,13
Metab__964,13
Metab__811,13
Metab__246983,13
Metab__107758,13
Metab__25137904,13
Metab__1050,13
Metab__9378,13
Metab__439184,13
Metab__CE2243,13
Metab__CE2242,13
Metab__25229583,13
Metab__9061,13
Metab__124148,13
Metab__CE4791,13
Metab__CE2441,13
Metab__CE5150,13
Metab__CE5154,13
Metab__5192,13
Metab__xolest183_hs,13
Metab__aclys,13
Metab__HC02056,13
Metab__M00054,13
Metab__M00044,13
Metab__M03014,13
Metab__1hibupglu_S,13
Metab__1hmdgluc,13
Metab__2hibupglu_S,13
Metab__3hibupglu_S,13
Metab__3hpvstet,13
Metab__6hsmv,13
Metab__4bhglz,13
Metab__4hmdgluc,13
Metab__6ahglz,13
Metab__6bhglzglc,13
Metab__7ahglz,13
Metab__7bhglzglc,13
Metab__83944,13
Metab__caribupglu_S,13
Metab__crglz,13
Metab__nfdac,13
Metab__9547243,12
Metab__11966146,12
Metab__11811,12
Metab__4mptnl,12
Metab__4nph,12
Metab__73374,12
Metab__7thf,12
Metab__207,12
Metab__2maacoa,12
Metab__acnacngal14acglcgalgluside_hs,12
Metab__acngalacglcgal14acglcgalgluside_hs,12
Metab__439281,12
Metab__199,12
Metab__24758425,12
Metab__4tmeabutn,12
Metab__biliverd,12
Metab__83814,12
Metab__4mzym_int2,12
Metab__16061154,12
Metab__439577,12
Metab__digalside_hs,12
Metab__dsT_antigen,12
Metab__gncore2,12
Metab__6438629,12
Metab__mem2emgacpail_prot_hs,12
Metab__n5m2masn,12
Metab__sTn_antigen,12
Metab__s2l2n2m2m,12
Metab__122281,12
Metab__440484,12
Metab__oagd3_hs,12
Metab__oagt3_hs,12
Metab__Tyr_ggn,12
Metab__ppp9,12
Metab__193305,12
Metab__1196,12
Metab__763,12
Metab__ksii_core2_deg5,12
Metab__dxtrn,12
Metab__764,12
Metab__440873,12
Metab__25701,12
Metab__53477821,12
Metab__439227,12
Metab__896,12
Metab__3080603,12
Metab__6436079,12
Metab__Rtotal3crn,12
Metab__440690,12
Metab__71077,12
Metab__11975273,12
Metab__tetpent3crn,12
Metab__tetpent6crn,12
Metab__tettet6crn,12
Metab__440120,12
Metab__439179,12
Metab__65074,12
Metab__HC01668,12
Metab__68152,12
Metab__22833559,12
Metab__46173358,12
Metab__25229587,12
Metab__25229586,12
Metab__53481588,12
Metab__449171,12
Metab__464,12
Metab__12035,12
Metab__C05769,12
Metab__CE4808,12
Metab__CE5148,12
Metab__CE5153,12
Metab__5280720,12
Metab__1831,12
Metab__196,12
Metab__c12dccoa,12
Metab__24892791,12
Metab__244872,12
Metab__11953876,12
Metab__octdececrn,12
Metab__10457,12
Metab__6426709,12
Metab__71920,12
Metab__xolest182_hs,12
Metab__xolest205_hs,12
Metab__xolest226_hs,12
Metab__abt_D,12
Metab__alaargcys,12
Metab__alaarggly,12
Metab__alaasnleu,12
Metab__alaglylys,12
Metab__alahisala,12
Metab__alalysthr,12
Metab__argalaala,12
Metab__argalaphe,12
Metab__argalathr,12
Metab__argarg,12
Metab__argarglys,12
Metab__argargmet,12
Metab__argcysgly,12
Metab__argcysser,12
Metab__arggluglu,12
Metab__argglupro,12
Metab__argglygly,12
Metab__arghisthr,12
Metab__argleuphe,12
Metab__arglysasp,12
Metab__argphearg,12
Metab__argpromet,12
Metab__argprothr,12
Metab__argserser,12
Metab__argtyrval,12
Metab__argvalcys,12
Metab__argvaltrp,12
Metab__asnasnarg,12
Metab__asncyscys,12
Metab__asnmetpro,12
Metab__asnpheasp,12
Metab__asnphecys,12
Metab__asntyrgly,12
Metab__asntyrphe,12
Metab__asntyrthr,12
Metab__aspalaarg,12
Metab__aspasnglu,12
Metab__aspglu,12
Metab__aspglupro,12
Metab__aspglutrp,12
Metab__asphiscys,12
Metab__asphispro,12
Metab__asplysglu,12
Metab__asplyshis,12
Metab__aspmetasp,12
Metab__aspprolys,12
Metab__aspvalasn,12
Metab__cysasnmet,12
Metab__cysaspphe,12
Metab__cyscys,12
Metab__cysglnmet,12
Metab__cysgluhis,12
Metab__cysglutrp,12
Metab__cysleuthr,12
Metab__cyssermet,12
Metab__cystyrasn,12
Metab__glnasngln,12
Metab__glnhishis,12
Metab__glnhislys,12
Metab__glnlyslys,12
Metab__glnlystrp,12
Metab__glnproglu,12
Metab__glntrpglu,12
Metab__glntyrleu,12
Metab__gluargleu,12
Metab__gluasnleu,12
Metab__gluglu,12
Metab__gluilelys,12
Metab__gluleu,12
Metab__glumet,12
Metab__glumethis,12
Metab__gluthr,12
Metab__gluthrlys,12
Metab__glutrpala,12
Metab__glyhisasn,12
Metab__glyhislys,12
Metab__glylyscys,12
Metab__glylysphe,12
Metab__glytyrlys,12
Metab__glyvalhis,12
Metab__hisargcys,12
Metab__hisargser,12
Metab__hisasp,12
Metab__hiscyscys,12
Metab__hisglnala,12
Metab__hisglu,12
Metab__hisglugln,12
Metab__hisglylys,12
Metab__hishislys,12
Metab__hislysala,12
Metab__hislysglu,12
Metab__hislysile,12
Metab__hislysthr,12
Metab__hislysval,12
Metab__hismet,12
Metab__hismetgln,12
Metab__hisphearg,12
Metab__hisprolys,12
Metab__histrphis,12
Metab__ileargile,12
Metab__ileasnhis,12
Metab__ileasp,12
Metab__ileglnglu,12
Metab__ileglyarg,12
Metab__ileprolys,12
Metab__ileserarg,12
Metab__iletrptyr,12
Metab__leualaarg,12
Metab__leuasnasp,12
Metab__leuasplys,12
Metab__leuleutrp,12
Metab__leupro,12
Metab__leuproarg,12
Metab__leusertrp,12
Metab__leutrp,12
Metab__leutrparg,12
Metab__leutyrtyr,12
Metab__leuval,12
Metab__lysargleu,12
Metab__lyscyshis,12
Metab__lysglnphe,12
Metab__lysgluglu,12
Metab__lyslyslys,12
Metab__lyspheile,12
Metab__lystrparg,12
Metab__lystyrile,12
Metab__lysvalphe,12
Metab__lysvaltrp,12
Metab__metargleu,12
Metab__metasntyr,12
Metab__metglntyr,12
Metab__metglyarg,12
Metab__methislys,12
Metab__metmetile,12
Metab__metphearg,12
Metab__mettrpphe,12
Metab__pheasnmet,12
Metab__pheasp,12
Metab__pheglnphe,12
Metab__pheleu,12
Metab__pheleuasp,12
Metab__pheleuhis,12
Metab__phelysala,12
Metab__phelyspro,12
Metab__phephe,12
Metab__phepheasn,12
Metab__phephethr,12
Metab__pheproarg,12
Metab__phesertrp,12
Metab__phethrlys,12
Metab__phetrpleu,12
Metab__phetyr,12
Metab__phetyrgln,12
Metab__phetyrlys,12
Metab__proargasp,12
Metab__proargcys,12
Metab__proasncys,12
Metab__procys,12
Metab__proglnpro,12
Metab__proglulys,12
Metab__prohis,12
Metab__prohistyr,12
Metab__proleuarg,12
Metab__prolyspro,12
Metab__prophe,12
Metab__proproarg,12
Metab__propropro,12
Metab__protrplys,12
Metab__protrpthr,12
Metab__provalgln,12
Metab__serargala,12
Metab__serargtrp,12
Metab__sercysarg,12
Metab__serglyglu,12
Metab__serlyshis,12
Metab__serphelys,12
Metab__sertrphis,12
Metab__thrargtyr,12
Metab__thrasntyr,12
Metab__thrglnglu,12
Metab__thrglntyr,12
Metab__thrhishis,12
Metab__thrilearg,12
Metab__thrmetarg,12
Metab__thrphearg,12
Metab__thrserarg,12
Metab__thrthrarg,12
Metab__thrtyrmet,12
Metab__trpalapro,12
Metab__trpargala,12
Metab__trpaspasp,12
Metab__trpglngln,12
Metab__trpglugly,12
Metab__trpgluleu,12
Metab__trpglupro,12
Metab__trpglutyr,12
Metab__trpglyleu,12
Metab__trpglyphe,12
Metab__trpglyval,12
Metab__trphismet,12
Metab__trpilelys,12
Metab__trpiletrp,12
Metab__trpleuval,12
Metab__trplys,12
Metab__trpmetarg,12
Metab__trpmetval,12
Metab__trpphe,12
Metab__trpprogly,12
Metab__trpproleu,12
Metab__trpproval,12
Metab__trpsertyr,12
Metab__trpthrglu,12
Metab__trpthrile,12
Metab__trpthrtyr,12
Metab__trptyrgln,12
Metab__trptyrtyr,12
Metab__trpvalasp,12
Metab__tyrala,12
Metab__tyralaphe,12
Metab__tyrargglu,12
Metab__tyrargser,12
Metab__tyrasparg,12
Metab__tyrcysgly,12
Metab__tyrcysthr,12
